NDVI,NDBI,NDWI,AirTemp,Humidity,WindSpeed,Albedo,BuildingDensity
-0.5753875,-0.32992366,0.72666144,1.5267111,0.404467,0.58290863,-0.21998733,0.07337254
-0.9665722,-0.60264707,0.7530833,1.8489732,0.5235664,0.5474497,-0.48647234,0.14320844
-0.16707051,1.5828255,0.39718798,1.6544696,0.053705834,0.1788525,-1.0272261,-0.111103565
0.27144134,1.1581528,0.41609293,1.817277,0.3275363,0.09503183,-0.6874746,0.15313835
0.044573322,0.30089077,0.615818,1.7586777,0.33780682,0.17595968,-0.51401174,0.28404233
0.015341402,1.9934614,0.43333668,1.3168441,0.13834324,0.27806342,-0.2564597,0.07905565
-0.9834909,-0.6921646,0.96032953,1.6010619,0.46070874,0.42728886,-0.14674374,0.031077344
-0.8367097,-1.4617192,0.7555504,1.9270079,0.26977092,0.6702921,0.014925699,0.2879029
-1.0880791,1.6512964,0.5537419,1.5154898,0.067544706,0.19868523,-1.1032748,-0.14426646
0.19661236,1.4312311,0.30270356,1.5612715,-0.05868715,0.09874251,-1.1674842,0.054291137
-0.9230264,-2.0142283,1.2715311,2.302152,0.6829809,0.0388091,-0.34300584,0.10701264
0.10361125,2.056273,0.33148926,1.4652596,0.18002796,0.30483085,-0.6193299,-0.0932238
-0.74189574,-0.14967804,0.8039936,1.7692825,0.4688651,0.70529777,-0.37859714,0.05535979
-0.28076306,1.4156294,0.43374327,1.5617876,0.013254306,0.19518262,-1.0348682,-0.08622366
-1.065288,-2.633152,1.0525014,2.225357,0.70620394,0.10854575,-0.5820297,0.009191786
-0.81261724,0.5173224,0.8154689,1.5914439,0.33204824,0.12689164,-0.78270143,0.13935894
-0.5796452,-0.8646297,0.601942,1.4389796,0.38315278,0.4595181,-0.20865382,0.0021345941
-0.73882794,-0.7506701,0.60922784,1.7619348,0.5608677,0.46227205,-0.41519254,-0.058387894
-0.1430115,-0.2327382,-0.13390963,1.5508405,0.49045873,0.6463958,-0.31110004,-0.0050565717
0.50846684,1.9255844,0.39251885,1.6396453,0.07301125,0.22079895,-1.2271411,-0.030015033
0.0868019,1.811147,0.39073005,1.6948565,0.08603662,0.10261846,-0.9552267,0.025876822
-0.21408935,1.8000442,0.47604275,1.5891129,0.17060408,0.07984399,-0.525028,0.07835
-0.8752391,1.848567,0.31458557,1.7694902,0.16154008,0.07028461,-0.61697817,0.026272787
-1.0306665,-1.1468304,0.9357073,1.5938021,0.3288318,0.65387326,-0.20105398,0.04717186
-0.8297422,-0.18822291,0.8333174,1.415664,0.2826298,0.4001197,-0.25055954,0.16730122
-0.11413913,1.7406881,0.42252314,1.6661183,0.0519176,0.20872565,-1.1295927,-0.08311522
-0.02060048,1.8813142,0.16447513,1.5223192,0.103878416,0.048924167,-0.6965803,0.024916204
0.039730933,1.7486011,0.35545364,1.3871895,0.031523626,0.044517953,-0.6414292,0.039560247
-0.56632614,0.28467116,0.9881834,1.5706122,0.45302436,0.4450767,0.074495025,0.13488811
-0.71857864,-1.0417557,0.9537118,1.7602336,0.5021571,0.6855094,0.29078782,0.0557808
-0.56253195,0.4909489,0.5576517,1.3964721,0.34233782,0.47926608,-0.19276059,0.06005066
0.042857986,1.7365462,0.36199492,1.6502868,0.050004404,0.19583605,-1.1260531,-0.077097125
0.5079925,2.0876167,0.18250713,1.540504,0.11916554,0.057307143,-0.70903045,0.052580677
-0.1339011,1.7689321,0.3132944,1.5762353,0.096069515,0.044263568,-0.65420866,0.037024308
-0.17994995,2.1275556,0.5049991,1.5173526,0.29680252,0.3483147,-0.027382556,0.20138583
-0.19839245,2.044392,0.69217724,1.5988057,0.23423359,0.34445274,-0.033371978,0.117137074
-0.04333048,1.7919449,0.40914384,1.5984566,0.053870227,0.22104825,-0.96350855,-0.19826257
-0.21272457,1.9712025,0.44988024,1.603779,0.1288294,0.061477054,-0.5443955,0.08057112
-0.7401774,1.860853,0.5493735,1.7291743,0.15815304,0.068924315,-0.54639786,0.08419437
-0.8175017,-0.71443015,0.7733528,1.8330848,0.49927977,0.60814726,0.5608107,0.07806423
-0.89937055,1.2322392,0.89932936,1.5612601,0.2606553,0.5214146,0.5111768,0.09917079
-0.016545929,1.8585371,0.3314291,1.6051935,0.028010229,0.21595229,-1.1980401,-0.06858718
-0.32415342,1.8702006,0.5316012,1.7738895,0.1422172,0.068894,-0.60907364,0.08449144
-0.34955058,1.8063914,0.47685558,1.5972081,0.12377417,0.04428959,-0.6635995,0.050978962
-0.23958337,1.8177329,0.43587092,1.3916191,0.08444548,0.48304802,-0.30707365,0.1200064
-0.71608907,-1.2143308,0.9735592,1.783756,0.44317624,0.7221166,0.67389244,0.07263074
-0.20840593,0.789653,0.62175137,1.4987103,0.3677307,0.5272185,0.27696797,0.110974655
-0.000117471034,1.9100044,0.3564053,1.6597897,0.05351163,0.20077556,-1.1455622,-0.070614725
